"block_height","block_index","hash","addresses__001","addresses__002","total","fees","size","gas_limit","gas_price","gas_tip_cap","gas_fee_cap","received","ver","double_spend","vin_sz","vout_sz","confirmations","inputs__sequence","inputs__addresses__-","outputs__value","outputs__script","outputs__addresses__-"
"-1","0","1fa21ce615c26806a9e089f70f3f15cb6eed1156847f1f8ba56e7439aa234f8d","7a250d5630b4cf539739df2c5dacb4c659f2488d","8ace7f5707585cf4c45c60199fdebd8751371946","0","20038892705218050","376","256863","78013932350","15000000000","78013932350","2023-04-23T18:24:37.259Z","0","False","1","1","0","160","8ace7f5707585cf4c45c60199fdebd8751371946","0","791ac94700000000000000000000000000000000000000000000000000000596fa259400000000000000000000000000000000000000000000000000008414d83b4241a400000000000000000000000000000000000000000000000000000000000000a00000000000000000000000008ace7f5707585cf4c45c60199fdebd87513719460000000000000000000000000000000000000000000000000000000064457852000000000000000000000000000000000000000000000000000000000000000200000000000000000000000073b54c795e89b3ea2c6ff36d56becf2121181f52000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","7a250d5630b4cf539739df2c5dacb4c659f2488d"
"-1","0","c0e5bde99d92b4ed4bf84f1c7d2e654238a703dccd533aeb4f3dd9d8368af4db","04ad4e360b71d36a521e639438a1a132143ca6f9","7a250d5630b4cf539739df2c5dacb4c659f2488d","100000000000000000","26545693921095552","350","216768","122461313114","60000000000","122461313114","2023-04-23T18:24:37.252Z","0","False","1","1","0","62","04ad4e360b71d36a521e639438a1a132143ca6f9","100000000000000000","b6f9de950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000004ad4e360b71d36a521e639438a1a132143ca6f900000000000000000000000000000000000000000000000000000000644578540000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e9180e0b8ef4850a46cea7837a4b32b63f7b36b9","7a250d5630b4cf539739df2c5dacb4c659f2488d"
"-1","0","8f6a57cecf41ed81c224e85a6214c5cb2172f6e749b9520d0c4f7f07d10bb2cb","7a250d5630b4cf539739df2c5dacb4c659f2488d","8943a09b165e6bb4703615f9ed7fd453ccbcbe93","0","16948218949741950","376","256737","66013932350","3000000000","66013932350","2023-04-23T18:24:37.246Z","0","False","1","1","0","697","8943a09b165e6bb4703615f9ed7fd453ccbcbe93","0","791ac9470000000000000000000000000000000000000000000000000000036a0bd62400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a00000000000000000000000008943a09b165e6bb4703615f9ed7fd453ccbcbe930000000000000000000000000000000000000000000000000000000064457850000000000000000000000000000000000000000000000000000000000000000200000000000000000000000073b54c795e89b3ea2c6ff36d56becf2121181f52000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","7a250d5630b4cf539739df2c5dacb4c659f2488d"
"-1","0","35e53da1e0b21a212d8e8d9e930a23b4da60e0374897b579928c37153df25186","6b75d8af000000e20b7a7ddf000ba900b4009a80","ae2fc483527b8ef99eb5d9b44875f005ba1fae13","40554143","17991088267950330","1452","241410","74525033213","74525033213","74525033213","2023-04-23T18:24:37.239Z","0","False","1","1","0","239593","ae2fc483527b8ef99eb5d9b44875f005ba1fae13","40554143","f8753df5f01c51fc90e432f26e22063744c457af7e90cb760fa489735fbc4d7dd7dd2fb3d061c8235dfc141e6c2f6760391990c18c5ccdeecc3ffd2d494a1008800fe68511a9073bf2e5000bc4b7e52d","6b75d8af000000e20b7a7ddf000ba900b4009a80"
"-1","0","60cc6b6b6a224ea432d02c74c9c711a056a846ef565793a4fafb1c9bdbb0979e","24f7ef98522dd61d529464f67bb3ffe96ea8afc2","e8cfad4c75a5e1caf939fd80afcf837dde340a69","0","19207356086805705","1057","181881","105603972305","105603972305","105603972305","2023-04-23T18:24:37.232Z","0","False","1","1","0","8690","24f7ef98522dd61d529464f67bb3ffe96ea8afc2","0","f7ccc39400000000000000000000000088e6a0c2ddd26feeb64f039a2c41296fcb3f564000000000000000000000000000000000000000000000000000000032618ec3f70000000000000000000000000000000000005acaee132be3a1e5f4f2ef3dfe550000000000000000000000000000000000005ac5eac94efef400000000000000000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000001644577e9010516f8","e8cfad4c75a5e1caf939fd80afcf837dde340a69"
"-1","0","d9c1c483f16f6379d2b8d4801488cfed6a671019ea5f970f42de1e0f0c8f98fb","0000e0ca771e21bd00057f54a68c30d400000000","080086911d8c78008800fae75871a657b77d0082","17110776","9327847577743863","910","224007","41640875409","0","41640875409","2023-04-23T18:24:37.224Z","0","False","1","1","0","6570","080086911d8c78008800fae75871a657b77d0082","17110776","006c00000028f3b6bdb2d341965df5ff6116c395187e288e5c87fb96cfb8141c000000666148da3f102400004a86c01d67965f8cb3d0aaa2c655705e64097c310000000000000000000000a4ba12222222228d8ba445958a75a0704d566bf2c80000000000000000000001c4022c0d9f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058776d83694b80160000000000000000000000000000e0ca771e21bd00057f54a68c30d4000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000052bbbe2900000000000000000000000000000000000000000000000000000000000000e00000000000000000000000000000e0ca771e21bd00057f54a68c30d40000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000004a86c01d67965f8cb3d0aaa2c655705e64097c31000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057898750f3696dd7ff00000000000000000000000000000000000000000000000000000000000000a3c500969accb3d8df08cba313c120818fe0ed9d0002000000000000000004710000000000000000000000000000000000000000000000000000000000000001000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000f2d719407fdbeff09d87557abb7232601fd9f290000000000000000000000000000000000000000000002fc6aaa95739368e88400000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000000","0000e0ca771e21bd00057f54a68c30d400000000"
"-1","0","b021adc1ea0383fdf83b1d18ae600b75af28920ecf1f43bea91706282a0b56a9","000000d40b595b94918a28b27d1e2c66f43a51d3","1113efd5c8896ccf251ea360bb9d91f113707f80","0","27563257089900000","312","300000","91877523633","8595772815","91877523633","2023-04-23T18:24:37.218Z","0","False","1","1","0","12033","1113efd5c8896ccf251ea360bb9d91f113707f80","0","341fedd6000000000000000000000000abd2505395323ab758f3c9d0aac35900ef87c7940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000ba3da548c4e9698a8213d7d0d4f0c67395ef33fb0000000000000000000000000000000000000000000000000512194aa33e255d000000000000000000000000000000000000000000000000000184d7f01f453a","000000d40b595b94918a28b27d1e2c66f43a51d3"
"-1","0","4ea79144299cb8e4d0bdc500a7edb7d38778caed6f155938c2526379d61f795d","7a250d5630b4cf539739df2c5dacb4c659f2488d","bc8b8e11d9f305bafdb729527d7005081b428314","400000000000000000","36460502558915985","350","298485","122151875501","60000000000","122151875501","2023-04-23T18:24:37.212Z","0","False","1","1","0","123","bc8b8e11d9f305bafdb729527d7005081b428314","400000000000000000","b6f9de9500000000000000000000000000000000000000000000000827ff9be665c75ecd0000000000000000000000000000000000000000000000000000000000000080000000000000000000000000bc8b8e11d9f305bafdb729527d7005081b42831400000000000000000000000000000000000000000000000000000000644578590000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000063d2fe83fb7553baddbb3b93666efc2d178ed092","7a250d5630b4cf539739df2c5dacb4c659f2488d"
"-1","0","c7af5a3c4e9881641af1c3a6318173702e06313fe498d8aa67731fa0b558505b","1f9090aae28b8a3dceadf281b0f12828e676c326","388c818ca8b9251b393131c08a736a67ccb19297","219478850217800547","920721396168399","116","22111","41640875409","0","41640875409","2023-04-23T18:24:37.206Z","0","False","1","1","0","60296","1f9090aae28b8a3dceadf281b0f12828e676c326","219478850217800547","","388c818ca8b9251b393131c08a736a67ccb19297"
"-1","0","c18b6bbc328bef578a70afa63cf9f8b9fc5fbeb8102a7b5f9fda3c2a1fbc0907","6b75d8af000000e20b7a7ddf000ba900b4009a80","ae2fc483527b8ef99eb5d9b44875f005ba1fae13","37228190","10860814765050789","1513","260821","41640875409","0","41640875409","2023-04-23T18:24:37.199Z","0","False","1","1","0","239592","ae2fc483527b8ef99eb5d9b44875f005ba1fae13","37228190","f8341df5f01c51fc90e432f26e22063744c457af7e90cb1e6c2f677a3990c18c5ccdeecc3ffd2d494a1008800fe68511a99a07f85b5758a432f4be4d512ff1aa25f4c7d35a073be89e000be076a0602d","6b75d8af000000e20b7a7ddf000ba900b4009a80"
